,ns,qwiki_id,title,wikipedia_id,manual_search
0,0,Q1027518,Calumma hilleniusi,6345746,
0,0,Q1085327,Calao à casque plat,3553883,
0,0,Q11788427,Liolaemus signifer,7001736,
0,0,Q11797183,Liolaemus chlorostictus,6986059,
0,0,Q1206327,Mico chrysoleucos,2770243,
0,0,Q12433008,Pyxicephalus angusticeps,7287762,
0,0,Q14542083,Leiolepis rubritaeniata,7320450,
0,0,Q15111455,Silverstoneia minima,7495050,
0,0,Q15111548,Silverstoneia punctiventris,7495077,
0,0,Q15300596,Ovophis convictus,7599926,
0,0,Q1567030,Simalia oenpelliensis,5813765,
0,0,Q17898973,Rhampholeon tilburyi,8282011,
0,0,Q17899009,Rhampholeon nebulauctor,8282016,
0,0,Q17899038,Rhampholeon maspictus,8282018,
0,0,Q18011531,Ovophis makazayazaya,8296640,
0,0,Q18601085,Varanus dalubhasa,8540927,
0,0,Q18601086,Varanus bangonorum,8540942,
0,0,Q18601092,Tropidophis curtus,8541055,
0,0,Q18601099,Tropidophis galacelidus,5842904,
0,0,Q18601100,Tropidophis hardyi,5842886,
0,0,Q18601148,Tropidophis jamaicensis,8541141,
0,0,Q18601172,Tropidophis stullae,7795129,
0,0,Q18601173,Tropidophis stejnegeri,7795134,
0,0,Q18601221,Tropidophis parkeri,5843195,
0,0,Q18601224,Tropidophis schwartzi,5843196,
0,0,Q18603895,Smaug barbertonensis,8547900,
0,0,Q1997560,Uromastyx acanthinura,3134608,
0,0,Q21011801,Tylototriton podichthys,9419573,
0,0,Q2167861,Varanus semiremex,6247933,
0,0,Q2397307,Oophaga arborea,3008005,
0,0,Q24008127,Trioceros goetzei,6389560,
0,0,Q2404449,Candoia paulsoni,5639124,
0,0,Q2420762,Calumma vohibola,6345550,
0,0,Q25382468,Xenopus fischbergi,9676899,
0,0,Q25382604,Theloderma vietnamense,9684640,
0,0,Q25391251,Cercocebus lunulatus,10116988,
0,0,Q2624437,Uromastyx macfadyeni,6311102,
0,0,Q2706305,Agalychnis medinae,3049274,
0,0,Q28005080,Iranodon gorganensis,5108757,
0,0,Q28016801,Andinobates daleswansoni,4532906,
0,0,Q28021355,Cynops orientalis,5072367,
0,0,Q28026042,Liangshantriton taliangensis,5089743,
0,0,Q28042641,Iranodon persicus,927299,
0,0,Q28053235,Oophaga occultator,3007952,
0,0,Q28053292,Oophaga speciosa,3007914,
0,0,Q28056429,Cophyla milloti,3585766,
0,0,Q2821962,Abronia meledona,6313826,
0,0,Q2822608,Acanthosaura titiwangsaensis,6160738,
0,0,Q2826364,Agama africana,6806354,
0,0,Q2826379,Agama kaimosae,6169964,
0,0,Q2826386,Agama montana,6170077,
0,0,Q2826393,Agama spinosa,6172059,
0,0,Q2842532,Ameerega boehmei,4787437,
0,0,Q2842540,Ameerega parvula,3009407,
0,0,Q2844238,Amphiglossus johannae,6400120,
0,0,Q2869652,Atractus carrioni,6008990,
0,0,Q2869818,Atropoides indomitus,5696592,
0,0,Q290388,Amphiglossus splendidus,3227836,
0,0,Q2917725,Pseudoferania polylepis,5887323,
0,0,Q2923516,Bradypodion ngomeense,6338102,
0,0,Q2926132,Brookesia brunoi,6804466,
0,0,Q2926144,Brookesia ramanantsoai,6237711,
0,0,Q2934415,Calumma ambreense,6345698,
0,0,Q2934424,Calumma furcifer,6348199,
0,0,Q2934429,Calumma glawi,6345672,
0,0,Q2934431,Calumma guibei,6348069,
0,0,Q2934434,Calumma marojezense,6345784,
0,0,Q2934435,Calumma jejy,6345623,
0,0,Q2934442,Calumma tsaratananense,6348062,
0,0,Q2934443,Calumma tsycorne,6345636,
0,0,Q2947776,Chalcides delislei,6472251,
0,0,Q2948043,Chamaeleo anchietae,6348681,
0,0,Q2948046,Chamaeleo calcaricarens,6348641,
0,0,Q2948048,Chamaeleo necasi,6348616,
0,0,Q2997173,Cordylus beraduccii,6393168,
0,0,Q2997174,Cordylus cloetei,6393232,
0,0,Q2997180,Cordylus marunguensis,6453199,
0,0,Q2997186,Cordylus minor,6395111,
0,0,Q2997193,Cordylus oelofseni,6393303,
0,0,Q2997195,Cordylus rivae,6395192,
0,0,Q2998211,Corytophanes hernandesii,6455416,
0,0,Q3003836,Crotalus tzabcan,5758962,
0,0,Q3007630,Smaug warreni,6426683,
0,0,Q3016709,Uromastyx dispar,3134782,
0,0,Q3016907,Lycodon flavozonatus,5838199,
0,0,Q3017641,Nyctimystes disruptus,3048942,
0,0,Q3020654,Pseudoxenodon karlschmidti,5982814,
0,0,Q3020714,Pseudoxenodon stejnegeri,5982795,
0,0,Q3028432,Lycodon meridionale,5841493,
0,0,Q3038491,Draco bimaculatus,6259460,
0,0,Q3038497,Draco cyanopterus,6256300,
0,0,Q3054361,Enhydris longicauda,5880611,
0,0,Q3054362,Enhydris jagorii,5885139,
0,0,Q3054369,Enhydris subtaeniata,5880618,
0,0,Q3055726,Epicrates assisi,5643221,
0,0,Q3055728,Epicrates crassus,5643690,
0,0,Q3055729,Epicrates alvarezi,5643067,
0,0,Q3057607,Eryx borrii,5650585,
0,0,Q3062110,Japalura flaviceps,6270730,
0,0,Q3090998,Furcifer major,6835931,
0,0,Q3091002,Furcifer viridis,6453601,
0,0,Q310557,Trioceros ellioti,6389771,
0,0,Q3110566,Gonocephalus semperi,6262821,
0,0,Q3140398,Hoplocephalus bitorquatus,5709980,
0,0,Q3144393,Hypsilurus geelvinkianus,6265612,
0,0,Q3144397,Hypsilurus macrolepis,6265820,
0,0,Q3216052,Laemanctus serratus,6201821,
0,0,Q3217205,Langaha alluaudi,5940241,
0,0,Q3217206,Langaha pseudoalluaudi,5940261,
0,0,Q3229197,Leiolepis guentherpetersi,6276168,
0,0,Q3229198,Leiolepis boehmei,6276157,
0,0,Q3229925,Lepidophyma mayae,6239533,
0,0,Q3298086,Mastigodryas heathii,6088369,
0,0,Q3304935,Melanoseps emmrichi,6671075,
0,0,Q3312509,Micrurus catamayensis,5715782,
0,0,Q3330856,Hydromantes sarrabusensis,5120308,
0,0,Q3335426,Namazonurus namaquensis,6397233,
0,0,Q3335427,Namazonurus peersi,6397206,
0,0,Q3335428,Namazonurus pustulatus,6397253,
0,0,Q3349373,Odorrana splendida,5437568,
0,0,Q3378684,Phelsuma kochi,6685852,
0,0,Q3378698,Phelsuma rosagularis,1680454,
0,0,Q3381143,Philodryas tachymenoides,6092885,
0,0,Q3381719,Phrynocephalus arabicus,6284638,
0,0,Q3392016,Platyceps florulentus,6153492,
0,0,Q3392338,Plestiodon quadrilineatus,6750804,
0,0,Q3393207,Pogona microlepidota,6267051,
0,0,Q3409709,Pseudocordylus transvaalensis,6401156,
0,0,Q3409711,Pseudocordylus subviridis,6426380,
0,0,Q3418978,Ranitomeya defleri,4552296,
0,0,Q3429249,Rhampholeon acuminatus,6383664,
0,0,Q3429251,Rhampholeon beraduccii,6383897,
0,0,Q3429254,Rhampholeon boulengeri,6385243,
0,0,Q3429256,Rhampholeon gorongosae,6384025,
0,0,Q3429259,Rhampholeon nchisiensis,6384034,
0,0,Q3429261,Rhampholeon platyceps,6385336,
0,0,Q3429262,Rhampholeon temporalis,3884194,
0,0,Q3429264,Rhampholeon uluguruensis,6383998,
0,0,Q3429266,Rhampholeon viridis,6383913,
0,0,Q3475879,Scincus albifasciatus,6734365,
0,0,Q3486904,Smaug breyeri,6426590,
0,0,Q3486905,Smaug regius,6426533,
0,0,Q3486907,Smaug mossambicus,6426517,
0,0,Q3498236,Stenocercus chrysopygus,6257692,
0,0,Q3498240,Stenocercus empetrus,6261219,
0,0,Q3505781,Suta punctata,5794631,
0,0,Q3513624,Tachymenis affinis,6056386,
0,0,Q3513628,Tachymenis peruviana,6056009,
0,0,Q3525904,Thrasops occidentalis,6137313,
0,0,Q3536181,Tracheloptychus petersi,6709466,
0,0,Q3538036,Trapelus boehmei,6300591,
0,0,Q3539409,Trioceros camerunensis,6388531,
0,0,Q3539413,Trioceros balebicornutus,6385954,
0,0,Q3539415,Trioceros chapini,1364096,
0,0,Q3539416,Trioceros conirostratus,6385959,
0,0,Q3539418,Trioceros feae,6388540,
0,0,Q3539419,Trioceros fuelleborni,6388590,
0,0,Q3539423,Trioceros hanangensis,6385672,
0,0,Q3539424,Trioceros incornutus,6388445,
0,0,Q3539425,Trioceros ituriensis,6388475,
0,0,Q3539427,Trioceros harennae,6385993,
0,0,Q3539428,Trioceros kinangopensis,6455343,
0,0,Q3539429,Trioceros kinetensis,6388438,
0,0,Q3539432,Trioceros narraioca,6385939,
0,0,Q3539433,Trioceros marsabitensis,6388209,
0,0,Q3539434,Trioceros ntunte,6385931,
0,0,Q3539435,Trioceros nyirit,6385637,
0,0,Q3539437,Trioceros perreti,6388201,
0,0,Q3539440,Trioceros pfefferi,6388583,
0,0,Q3539441,Trioceros schubotzi,6388497,
0,0,Q3539442,Trioceros serratus,6388469,
0,0,Q3539443,Trioceros schoutedeni,6388432,
0,0,Q3539444,Trioceros tempeli,6388610,
0,0,Q3539446,Trioceros sternfeldi,6388416,
0,0,Q3539447,Trioceros werneri,6389399,
0,0,Q3539450,Trioceros wiedersheimi,6388512,
0,0,Q3540656,Tropidonophis dendrophiops,6006336,
0,0,Q3540682,Tropidophis grapiuna,6855893,
0,0,Q3540685,Tropidophis preciosus,6855881,
0,0,Q3540757,Tropidurus semitaeniatus,6261888,
0,0,Q3552366,Uromastyx nigriventris,6311256,
0,0,Q3552367,Uromastyx benti,6311304,
0,0,Q3552368,Saara asmussi,6311413,
0,0,Q3552369,Saara loricata,6311388,
0,0,Q3552371,Uromastyx occidentalis,6310835,
0,0,Q3552372,Uromastyx shobraki,6310745,
0,0,Q3552376,Uromastyx yemenensis,6310762,
0,0,Q3554676,Varanus nuchalis,6246046,
0,0,Q3554677,Varanus rasmusseni,6246146,
0,0,Q3554681,Varanus scalaris,6248005,
0,0,Q3554682,Varanus togianus,6246033,
0,0,Q3554683,Varanus similis,6247991,
0,0,Q3570879,Xenochrophis schnurrenbergeri,6008798,
0,0,Q3570880,Xenochrophis tytleri,6008645,
0,0,Q3575995,Zonosaurus karsteni,6711245,
0,0,Q3575997,Zonosaurus laticaudatus,6711258,
0,0,Q3575998,Zonosaurus maximus,6711179,
0,0,Q3576004,Zonosaurus trilineatus,6711166,
0,0,Q389778,Cynops cyanurus,5072319,
0,0,Q420431,Trioceros affinis,6391969,
0,0,Q4662407,Amolops caelumnoctis,4779103,
0,0,Q4671689,Hildebrandtia ornata,3858067,
0,0,Q4671754,Hyperolius substriatus,4657501,
0,0,Q4675336,Odorrana yentuensis,4815258,
0,0,Q4676531,Telmatobius hintoni,4218343,
0,0,Q4678595,Leptodactylus rhodomerus,4193909,
0,0,Q4679272,Ameerega yungicola,4551050,
0,0,Q4680170,Rheohyla miotympanum,3027159,
0,0,Q4680465,Ranitomeya uakarii,4533953,
0,0,Q4681074,Epipedobates narinensis,4551699,
0,0,Q4684541,Ameerega rubriventris,3009824,
0,0,Q4684641,Telmatobius punctatus,4192302,
0,0,Q4687225,Hyloxalus spilotogaster,4527624,
0,0,Q4687811,Hyloxalus pulcherrimus,4522910,
0,0,Q4735643,Ameerega simulans,3009815,
0,0,Q5066993,Liolaemus robustus,6986295,
0,0,Q5067628,Scincus hemprichii,6734311,
0,0,Q5070390,Drymoluber apurimacensis,5905737,
0,0,Q5079972,Calumma capuroni,6345776,
0,0,Q5080181,Liolaemus irregularis,6986218,
0,0,Q5080554,Calumma vatosoa,6345654,
0,0,Q5081583,Liolaemus ornatus,6957050,
0,0,Q5083148,Liolaemus orientalis,7000246,
0,0,Q5083349,Rhampholeon moyeri,6383939,
0,0,Q5085822,Liolaemus forsteri,6986246,
0,0,Q5086727,Liolaemus williamsi,6986311,
0,0,Q5088974,Liolaemus ortizii,6986253,
0,0,Q5089819,Liolaemus polystictus,6986287,
0,0,Q5090902,Liolaemus albiceps,6956486,
0,0,Q5091383,Calumma guillaumeti,6345711,
0,0,Q5092508,Liolaemus thomasi,6986104,
0,0,Q5093427,Liolaemus melanogaster,6986109,
0,0,Q5120438,Calumma peyrierasi,6345727,
0,0,Q5121677,Sphenomorphus praesignis,6773967,
0,0,Q5127703,Tropidophorus beccarii,6803957,
0,0,Q514522,Pseudoxenodon bambusicola,5982932,
0,0,Q5247361,Phrynosoma cerroense,6864973,
0,0,Q5259216,Sceloporus asper,6941952,
0,0,Q5265801,Pristidactylus casuhatiensis,7003920,
0,0,Q5314054,Pristidactylus volcanensis,7004200,
0,0,Q5314112,Sceloporus mucronatus,6949046,
0,0,Q5314623,Phrynosoma blainvillii,6864416,
0,0,Q537099,Lycodonomorphus subtaeniatus,5923012,
0,0,Q569384,Pogona nullarbor,6266949,
0,0,Q600994,Uromastyx ocellata,3134691,
0,0,Q603302,Phelsuma pasteuri,6673614,
0,0,Q6466109,Amolops splendissimus,4777605,
0,0,Q664690,Calumma peltierorum,6345631,
0,0,Q717633,Sylvirana guentheri,3053324,
0,0,Q756992,Varanus primordius,6248047,
0,0,Q964868,Trioceros melleri,3094319,
0,,Q2239561,Megophrys chuannanensis,,Q2239561
0,,Q2238738,Megophrys feae,,Q2238738
0,,Q18746346,Ducula oenothorax,,Q18746346
0,,NA,Phapitreron maculipectus,,NA
0,,Q31074821,Lophura pyronota,,Q31074821
0,,NA,Ardea brachyrhyncha,,NA
0,,Q18416442,Amazona bodini,,Q18416442
0,,Q19717139,Arctonyx albogularis,,Q19717139
0,,Q19717143,Arctonyx hoevenii,,Q19717143
0,,Q3867231,Muntiacus vaginalis,,Q3867231
0,,Q308770,Fukomys mechowi,,Q308770
0,,Q40659936,Tamiops macclellandii,,Q40659936
0,,Q579126,Tupaia everetti,,Q579126
